지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
102,백령도,2023-06-01 00:00,17.3,,2,98
102,백령도,2023-06-01 01:00,16.6,,1.3,94
102,백령도,2023-06-01 02:00,16.9,,2.1,96
102,백령도,2023-06-01 03:00,14.9,,2.6,98
102,백령도,2023-06-01 04:00,15,,1.5,99
102,백령도,2023-06-01 05:00,15.3,,.6,99
102,백령도,2023-06-01 06:00,15.1,,1.4,99
102,백령도,2023-06-01 07:00,15.8,,1.4,99
102,백령도,2023-06-01 08:00,16.5,,2.1,99
102,백령도,2023-06-01 09:00,16.7,,3.2,98
102,백령도,2023-06-01 10:00,16.9,,2.7,95
102,백령도,2023-06-01 11:00,17.9,,3.2,95
102,백령도,2023-06-01 12:00,18.6,,3.9,87
102,백령도,2023-06-01 13:00,19.5,,4.5,85
102,백령도,2023-06-01 14:00,20.3,,3.9,82
102,백령도,2023-06-01 15:00,19.1,,4.2,87
102,백령도,2023-06-01 16:00,17.8,,4.8,93
102,백령도,2023-06-01 17:00,17.5,,4.9,95
102,백령도,2023-06-01 18:00,18.4,,3.3,89
102,백령도,2023-06-01 19:00,16.5,,1.8,95
102,백령도,2023-06-01 20:00,16,,1.2,97
102,백령도,2023-06-01 21:00,16.2,,1.9,98
102,백령도,2023-06-01 22:00,16.4,,2,97
102,백령도,2023-06-01 23:00,17.9,,2.4,95
102,백령도,2023-06-02 00:00,17.7,,3,92
102,백령도,2023-06-02 01:00,17.5,,2.4,95
102,백령도,2023-06-02 02:00,17.1,,2.7,98
102,백령도,2023-06-02 03:00,17,,2.6,98
102,백령도,2023-06-02 04:00,17.3,,2.1,95
102,백령도,2023-06-02 05:00,17.4,,2.9,95
102,백령도,2023-06-02 06:00,16.9,,3,98
102,백령도,2023-06-02 07:00,17,,2.4,99
102,백령도,2023-06-02 08:00,17.7,,3,93
102,백령도,2023-06-02 09:00,16.5,,3.6,98
102,백령도,2023-06-02 10:00,18.1,,3.6,89
102,백령도,2023-06-02 11:00,17.6,,4.2,88
102,백령도,2023-06-02 12:00,18.1,,4,83
102,백령도,2023-06-02 13:00,17.3,,4.5,85
102,백령도,2023-06-02 14:00,17.4,,5.2,78
102,백령도,2023-06-02 15:00,18.1,,5.5,73
102,백령도,2023-06-02 16:00,18,,4.9,78
102,백령도,2023-06-02 17:00,17.9,,6.6,75
102,백령도,2023-06-02 18:00,17.6,,5.7,82
102,백령도,2023-06-02 19:00,17.3,,6.6,80
102,백령도,2023-06-02 20:00,16.4,,5.2,84
102,백령도,2023-06-02 21:00,15.6,,5.6,89
102,백령도,2023-06-02 22:00,16.2,,3.3,88
102,백령도,2023-06-02 23:00,15.9,,3.9,83
102,백령도,2023-06-03 00:00,16.4,,4.5,79
102,백령도,2023-06-03 01:00,17.1,,4.1,75
102,백령도,2023-06-03 02:00,15.7,,3.9,81
102,백령도,2023-06-03 03:00,15,,2.6,85
102,백령도,2023-06-03 04:00,15.1,,2.7,83
102,백령도,2023-06-03 05:00,16.1,,2,72
102,백령도,2023-06-03 06:00,15.6,,3.8,79
102,백령도,2023-06-03 07:00,17.7,,3.4,72
102,백령도,2023-06-03 08:00,19.9,,2.4,62
102,백령도,2023-06-03 09:00,21,,3.6,55
102,백령도,2023-06-03 10:00,21.3,,4.6,54
102,백령도,2023-06-03 11:00,21.5,,5.5,54
102,백령도,2023-06-03 12:00,21.7,,4.8,56
102,백령도,2023-06-03 13:00,22.2,,4.7,56
102,백령도,2023-06-03 14:00,22.7,,6.3,46
102,백령도,2023-06-03 15:00,22.8,,5.6,47
102,백령도,2023-06-03 16:00,21.9,,6.3,53
102,백령도,2023-06-03 17:00,21.1,,6,62
102,백령도,2023-06-03 18:00,20.4,,5.7,67
102,백령도,2023-06-03 19:00,18.3,,4.3,82
102,백령도,2023-06-03 20:00,17.2,,3.6,87
102,백령도,2023-06-03 21:00,18,,2.6,77
102,백령도,2023-06-03 22:00,18.6,,2.9,68
102,백령도,2023-06-03 23:00,18.7,,3.7,70
102,백령도,2023-06-04 00:00,18.5,,4.3,71
102,백령도,2023-06-04 01:00,17.7,,4.5,77
102,백령도,2023-06-04 02:00,16.8,,3.7,82
102,백령도,2023-06-04 03:00,16.1,,3.4,82
102,백령도,2023-06-04 04:00,16.8,,3.4,73
102,백령도,2023-06-04 05:00,17,,1.9,73
102,백령도,2023-06-04 06:00,16.2,,1.4,75
102,백령도,2023-06-04 07:00,18.9,,.8,72
